POL,POD,Place of Delivery,Curr,D20,D40,polName,podName,originalPlaceOfDelivery,feederD20,feederD40,baseD20,baseD40,feederPlaceOfReceipt,feederPlaceOfReceiptID,Place of Receipt
657001,656495,660244,USD,3960,4650,YANTIAN,SEATTLE,CINCINNATI,90,100,3870,4550,DONGGUAN,657001,DONGGUAN
657001,656495,657532,USD,3960,4650,YANTIAN,SEATTLE,CLEVELAND,90,100,3870,4550,DONGGUAN,657001,DONGGUAN
657001,656495,660272,USD,3960,4650,YANTIAN,SEATTLE,COLUMBUS,90,100,3870,4550,DONGGUAN,657001,DONGGUAN
657001,656495,659550,USD,4045,4750,YANTIAN,SEATTLE,DETROIT,90,100,3955,4650,DONGGUAN,657001,DONGGUAN
657001,656495,657530,USD,6000,7050,YANTIAN,SEATTLE,INDIANAPOLIS,90,100,5910,6950,DONGGUAN,657001,DONGGUAN
657001,656495,657099,USD,4300,5050,YANTIAN,SEATTLE,LOUISVILLE,90,100,4210,4950,DONGGUAN,657001,DONGGUAN
657001,656495,657527,USD,3535,4150,YANTIAN,SEATTLE,MEMPHIS,90,100,3445,4050,DONGGUAN,657001,DONGGUAN
657001,656495,658126,USD,3450,4050,YANTIAN,SEATTLE,OMAHA,90,100,3360,3950,DONGGUAN,657001,DONGGUAN
657001,656495,656497,USD,2385,2800,YANTIAN,SEATTLE,PORTLAND,90,100,2295,2700,DONGGUAN,657001,DONGGUAN
657001,656495,656915,USD,3790,4450,YANTIAN,SEATTLE,ST PAUL,90,100,3700,4350,DONGGUAN,657001,DONGGUAN
657001,660196,660196,USD,3940,4960,YANTIAN,HONOLULU,,90,100,3850,4860,DONGGUAN,657001,DONGGUAN
659690,656495,656495,USD,1395,1950,YANTIAN,SEATTLE,,135,150,1260,1800,GAOMING,659690,GAOMING
659690,656496,656496,USD,1395,1950,YANTIAN,TACOMA,,135,150,1260,1800,GAOMING,659690,GAOMING
659690,656495,656569,USD,3495,4100,YANTIAN,SEATTLE,CHICAGO,135,150,3360,3950,GAOMING,659690,GAOMING
659690,656495,660244,USD,4005,4700,YANTIAN,SEATTLE,CINCINNATI,135,150,3870,4550,GAOMING,659690,GAOMING
659690,656495,657532,USD,4005,4700,YANTIAN,SEATTLE,CLEVELAND,135,150,3870,4550,GAOMING,659690,GAOMING
659690,656495,660272,USD,4005,4700,YANTIAN,SEATTLE,COLUMBUS,135,150,3870,4550,GAOMING,659690,GAOMING
659690,656495,659550,USD,4090,4800,YANTIAN,SEATTLE,DETROIT,135,150,3955,4650,GAOMING,659690,GAOMING
659690,656495,657530,USD,6045,7100,YANTIAN,SEATTLE,INDIANAPOLIS,135,150,5910,6950,GAOMING,659690,GAOMING
659690,656495,657099,USD,4345,5100,YANTIAN,SEATTLE,LOUISVILLE,135,150,4210,4950,GAOMING,659690,GAOMING
659690,656495,657527,USD,3580,4200,YANTIAN,SEATTLE,MEMPHIS,135,150,3445,4050,GAOMING,659690,GAOMING
659690,656495,658126,USD,3495,4100,YANTIAN,SEATTLE,OMAHA,135,150,3360,3950,GAOMING,659690,GAOMING
659690,656495,656497,USD,2430,2850,YANTIAN,SEATTLE,PORTLAND,135,150,2295,2700,GAOMING,659690,GAOMING
659690,656495,656915,USD,3835,4500,YANTIAN,SEATTLE,ST PAUL,135,150,3700,4350,GAOMING,659690,GAOMING
